Sub-Category,total_sales,avg_order_value,sales_volatility,yoy_growth_pct,cluster,cluster_label,pca1,pca2
Accessories,164186.7,217.17817460317463,2579.9948090711305,37.638071385980304,2,"Slower, Steadier Demand",0.03285460703376038,-0.1280394032346641
Appliances,104618.40299999999,227.92680392156862,1821.6215390281989,39.92758418197722,1,"High Volume, Stable Demand",-0.5622131327056417,0.13744335964615964
Art,26705.41,34.019630573248406,330.4883427284576,16.605553026749924,1,"High Volume, Stable Demand",-1.7285034170395597,-0.15265662083056358
Binders,200028.785,134.0675502680965,3848.2236478754903,21.87360669860654,2,"Slower, Steadier Demand",0.6174826035598079,-0.5946761538991762
Bookcases,113813.19870000001,503.59822433628324,2220.405079725175,23.806516259103613,1,"High Volume, Stable Demand",-0.1197913053882804,-0.06488749731165944
Chairs,322822.731,531.8331647446458,4407.23295981141,7.135789951209725,2,"Slower, Steadier Demand",1.847288476748229,-1.1423158885281157
Copiers,146248.09399999998,2215.880212121212,5500.774390527093,84.6718189338513,0,"Low Volume, High Volatility",2.8686496851297147,1.9663937379556653
Envelopes,16128.045999999998,65.03244354838709,228.21868781596007,-2.7666432997654145,1,"High Volume, Stable Demand",-1.8046859803021265,-0.47993123765906115
Fasteners,3001.96,14.02785046728972,48.74222863268981,15.703382899686266,1,"High Volume, Stable Demand",-1.980767728685275,-0.09496760699447956
Furnishings,89212.018,95.82386466165413,1360.0178672616057,28.78893806111394,1,"High Volume, Stable Demand",-0.9435150088974968,-0.10076354274491113
Labels,12347.726,34.587467787114846,223.47121839221342,12.192650684234545,1,"High Volume, Stable Demand",-1.8477838130270785,-0.18610128888702857
Machines,189238.63100000002,1645.5533130434785,5603.5547467397955,8.006000579367448,0,"Low Volume, High Volatility",2.584981589461764,-0.0060990627514043855
Paper,76828.304,57.42025710014948,1024.8249818349855,25.41307360390605,1,"High Volume, Stable Demand",-1.1722943450365475,-0.14629674938197681
Phones,327782.448,374.1808767123287,4052.7182205208205,12.340878459166033,2,"Slower, Steadier Demand",1.6006023417345774,-1.1479074752680203
Storage,219343.392,263.6338846153846,2822.0843101166624,13.179873437023968,2,"Slower, Steadier Demand",0.4531998006860236,-0.7947253743982057
Supplies,46420.30799999999,252.2842826086956,2025.094138915901,192.84484275895372,3,Growing Demand,-0.7089342580206746,3.3959670825802237
Tables,202810.628,645.8937197452229,3224.0825044607163,16.410685246324878,2,"Slower, Steadier Demand",0.8634298847488041,-0.46043627829278433
